id,title,published_at,news_site,url
39869,"Curiosity Blog, Sols 4995-5001: 5,000 (Martian) Days on Mars",2026-09-09 06:20:49,NASA,https://science.nasa.gov/blog/curiosity-blog-sols-4995-5001-5000-martian-days-on-mars/
39871,MTG-I2 reaches its final orbit,2026-09-09 06:20:00,ESA,https://www.esa.int/Applications/Observing_the_Earth/Meteorological_missions/meteosat_third_generation/MTG-I2_reaches_its_final_orbit
39868,Anak Krakatau Rumbles Again,2026-09-09 04:01:00,NASA,https://science.nasa.gov/earth/earth-observatory/anak-krakatau-rumbles-again/
39867,"From the Corps to the Cosmos, featuring Jaden Caradine",2026-09-08 20:29:59,NASA,https://www.nasa.gov/general/from-the-corps-to-the-cosmos-featuring-jaden-caradine/
39866,NASA Calls for Proposals to Accelerate Lunar Surface Technologies,2026-09-08 20:16:16,NASA,https://www.nasa.gov/news-release/nasa-calls-for-proposals-to-accelerate-lunar-surface-technologies/
39865,Superbubble in the Large Magellanic Cloud,2026-09-08 16:49:15,NASA,https://www.nasa.gov/image-article/superbubble-in-the-large-magellanic-cloud/
39864,The Exploration Company Raises $450 Million in Series C Funding,2026-09-08 15:21:42,European Spaceflight,https://europeanspaceflight.com/the-exploration-company-raises-450-million-in-series-c-funding/
39863,NASA Technique for Manipulating Satellite Photos Now Reveals Ancient Images,2026-09-08 15:15:56,NASA,https://www.nasa.gov/technology/tech-transfer-spinoffs/nasa-technique-for-manipulating-satellite-photos-now-reveals-ancient-images/
39861,"1,000 Museum Visitors Dive Into NASA Sea Level Science on World Ocean Day",2026-09-08 14:06:52,NASA,https://science.nasa.gov/learning-resources/science-activation/1000-museum-visitors-dive-into-nasa-sea-level-science-on-world-ocean-day/
39862,"NASA’s Hubble, Webb Find Far-out Solar System Objects ‘Remember’ Past",2026-09-08 14:00:28,NASA,https://science.nasa.gov/missions/hubble/nasas-hubble-webb-find-far-out-solar-system-objects-remember-past/
