id,title,published_at,news_site,url
39963,Purple swirls on the Red Planet,2026-09-16 09:00:00,ESA,https://www.esa.int/Science_Exploration/Space_Science/Mars_Express/Purple_swirls_on_the_Red_Planet
39962,APOD: 2026 September 16 – Webb’s View of M64,2026-09-16 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-16-webbs-view-of-m64/
39961,Progress MS-35 poised to launch cargo to ISS from Kazakhstan,2026-09-16 02:05:15,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/progress-ms-35-launch/
39960,Starship to Attempt First Orbital Flight Next Week,2026-09-16 01:09:54,SpacePolicyOnline.com,https://spacepolicyonline.com/news/starship-to-attempt-first-orbital-flight-next-week/
39959,NASA Ames Stars of the Month: September 2026,2026-09-15 23:46:11,NASA,https://www.nasa.gov/general/nasa-ames-stars-of-the-month-september-2026/
39958,Live coverage: SpaceX to launch national security payload for the U.S. Space Force on Falcon 9 rocket from Vandenberg,2026-09-15 21:29:03,Spaceflight Now,https://spaceflightnow.com/2026/09/15/live-coverage-spacex-to-launch-national-security-payload-for-the-u-s-space-force-on-falcon-9-rocket-from-vandenberg/
39957,Open Cosmos Raises €300 Million as Investors Back Europe’s Space Push,2026-09-15 20:20:00,European Spaceflight,https://europeanspaceflight.com/open-cosmos-raises-e300-million-as-investors-back-europes-space-push/
39956,NASA Invites Media to International Observe the Moon Night,2026-09-15 18:55:33,NASA,https://www.nasa.gov/news-release/nasa-invites-media-to-international-observe-the-moon-night/
39955,SpaceX sets launch date for first Starship orbital flight,2026-09-15 18:48:08,Arstechnica,https://arstechnica.com/space/2026/09/spacex-sets-launch-date-for-first-starship-orbital-flight/
39954,Launch Preview: Nine orbital launches scheduled from sites around the world,2026-09-15 17:52:36,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/launch-preview-091526/
