id,title,published_at,news_site,url
39828,How Sentinel-3 tracks climate change,2026-09-04 08:00:00,ESA,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-3/How_Sentinel-3_tracks_climate_change
39826,A Trio of Tropical Cyclones in the Pacific,2026-09-04 04:01:00,NASA,https://science.nasa.gov/earth/earth-observatory/a-trio-of-tropical-cyclones-in-the-pacific/
39825,Schiess Takes Charge of U.S. Space Force,2026-09-03 21:59:19,SpacePolicyOnline.com,https://spacepolicyonline.com/news/schiess-takes-charge-of-u-s-space-force/
39824,Schiess takes command of Space Force as the service prepares for expansion,2026-09-03 21:03:23,SpaceNews,https://spacenews.com/schiess-takes-command-of-space-force-as-the-service-prepares-for-expansion/
39823,"NASA to Cover Progress 96 Spacecraft Launch, Docking",2026-09-03 17:06:00,NASA,https://www.nasa.gov/news-release/nasa-to-cover-progress-96-spacecraft-launch-docking/
39822,"Curiosity Blog, Sols 4988-4994: More New Tricks for an Old Dog",2026-09-03 15:59:48,NASA,https://science.nasa.gov/blog/curiosity-blog-sols-4988-4994-more-new-tricks-for-an-old-dog/
39827,BepiColombo’s Mercury arrival begins - full replay,2026-09-03 15:00:00,ESA,https://www.esa.int/ESA_Multimedia/Videos/2026/09/BepiColombo_s_Mercury_arrival_begins_-_full_replay
39821,Igniting Roman’s Journey,2026-09-03 14:24:23,NASA,https://www.nasa.gov/image-article/igniting-romans-journey/
39820,Isar Aerospace Could Attempt Second Spectrum Flight as Early as 4 September,2026-09-03 13:50:06,European Spaceflight,https://europeanspaceflight.com/isar-aerospace-could-attempt-second-spectrum-flight-as-early-as-4-september/
39818,NASA’s Hubble Spies Superbubble Scene,2026-09-03 13:16:02,NASA,https://science.nasa.gov/missions/hubble/nasas-hubble-spies-superbubble-scene/
