id,title,published_at,news_site,url
39947,Avio Launches Second Successful Vega C Flight of 2026,2026-09-15 08:30:01,European Spaceflight,https://europeanspaceflight.com/avio-launches-second-successful-vega-c-flight-of-2026/
39945,FLEX and Sentinel-3C launch highlights,2026-09-15 07:00:00,ESA,https://www.esa.int/ESA_Multimedia/Videos/2026/09/FLEX_and_Sentinel-3C_launch_highlights
39943,Iceye’s global presence expands to address sovereign demand,2026-09-15 06:00:00,SpaceNews,https://spacenews.com/iceye-rapidly-expands-global-presence-to-address-sovereign-demand/
39946,Relive the launch of FLEX and Sentinel-3C,2026-09-15 05:00:00,ESA,https://www.esa.int/ESA_Multimedia/Videos/2026/09/Relive_the_launch_of_FLEX_and_Sentinel-3C
39942,APOD: 2026 September 15 – A Daytime Eclipse: Moon Occults Venus,2026-09-15 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-15-a-daytime-eclipse-moon-occults-venus/
39941,"Avio launches pair of climate monitoring European spacecraft to study plants, oceans and atmospheric changes",2026-09-15 03:51:39,Spaceflight Now,https://spaceflightnow.com/2026/09/15/avio-launches-pair-of-climate-monitoring-european-spacecraft-to-study-plants-oceans-and-atmospheric-changes/
39940,FLEX and Sentinel-3C launched,2026-09-15 03:25:00,ESA,https://www.esa.int/Applications/Observing_the_Earth/FLEX_and_Sentinel-3C_launched
39939,State Department Launches Space Catalyst Partnership,2026-09-15 02:00:03,SpacePolicyOnline.com,https://spacepolicyonline.com/news/state-department-launches-space-catalyst-partnership/
39938,Live coverage: Avio to launch spacecraft to monitor plant health and ocean conditions,2026-09-14 22:05:37,Spaceflight Now,https://spaceflightnow.com/2026/09/14/live-coverage-avio-to-launch-spacecraft-to-monitor-plant-health-and-ocean-conditions/
39936,Rocket Lab is seeing red about NASA's decision on a Mars spacecraft,2026-09-14 21:32:22,Arstechnica,https://arstechnica.com/space/2026/09/rocket-lab-is-seeing-red-about-nasas-decision-on-a-mars-spacecraft/
