id,title,published_at,news_site,url
39905,Week in images: 07-11 Sep 2026,2026-09-11 13:00:00,ESA,https://www.esa.int/About_Us/Week_in_images/Week_in_images_07-11_Sep_2026
39904,Avio Completes Integration of FD1 Rocket Demonstrator,2026-09-11 08:18:43,European Spaceflight,https://europeanspaceflight.com/avio-completes-integration-of-fd1-rocket-demonstrator/
39903,A team of teams like never before: rehearsing a unique launch at ESA mission control,2026-09-11 08:00:00,ESA,https://www.esa.int/Enabling_Support/Operations/A_team_of_teams_like_never_before_rehearsing_a_unique_launch_at_ESA_mission_control
39901,LatConnect 60 Expands India Market Presence for SWIRSAT With NSIL Agreement and GeoSyze Partnership,2026-09-11 05:32:49,SpaceNews,https://spacenews.com/latconnect-60-expands-india-market-presence-for-swirsat-with-nsil-agreement-and-geosyze-partnership/
39900,APOD: 2026 September 11 – M83: The Southern Pinwheel,2026-09-11 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-11-m83-the-southern-pinwheel/
39899,NASA Invites Governors to Compete to be Home to the New U.S. Space Academy,2026-09-10 23:30:48,SpacePolicyOnline.com,https://spacepolicyonline.com/news/nasa-invites-governors-to-compete-to-be-home-to-the-new-u-s-space-academy/
39898,"Roman telescope deploys solar array and communication systems, powers on Coronagraph Instrument",2026-09-10 22:24:00,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/roman-commissioning-update/
39897,NASA Invites Media to Djibouti Artemis Accords Signing Ceremony,2026-09-10 21:11:32,NASA,https://www.nasa.gov/news-release/nasa-invites-media-to-djibouti-artemis-accords-signing-ceremony/
39896,NASA Answers President’s Call to Establish United States Space Academy,2026-09-10 20:26:52,NASA,https://www.nasa.gov/news-release/nasa-answers-presidents-call-to-establish-united-states-space-academy/
39895,NASA’s Life-Saving Technology Where Cell Signals Can’t Go,2026-09-10 20:12:39,NASA,https://www.nasa.gov/technology/tech-transfer-spinoffs/nasas-life-saving-technology-where-cell-signals-cant-go/
