id,title,published_at,news_site,url
40073,Record participation in ESA’s Industry Space Days 2026,2026-09-24 07:05:00,ESA,https://www.esa.int/About_Us/Business_with_ESA/Record_participation_in_ESA_s_Industry_Space_Days_2026
40072,ESA Awards RFA €2.7 Million in New Funding for SaxaVord Operations,2026-09-24 06:00:15,European Spaceflight,https://europeanspaceflight.com/esa-awards-rfa-e2-7-million-in-new-funding-for-saxavord-operations/
40070,APOD: 2026 September 24 – The Ghosts of Five Supernovas,2026-09-24 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-24-the-ghosts-of-five-supernovas/
40071,Cloudy Cloak Over the Northwest,2026-09-24 04:01:00,NASA,https://science.nasa.gov/earth/earth-observatory/cloudy-cloak-over-the-northwest/
40069,"Swift Rescue Mission May Not Have Succeeded, But No Regrets",2026-09-24 02:01:59,SpacePolicyOnline.com,https://spacepolicyonline.com/news/swift-rescue-mission-may-not-have-succeeded-but-no-regrets/
40068,NASA Modernizes Commercial Airline Systems,2026-09-23 22:08:54,NASA,https://www.nasa.gov/directorates/armd/aosp/nasa-modernizes-commercial-airline-systems/
40067,SpaceX stack Starship and Super Heavy for first orbital flight,2026-09-23 21:47:00,Spaceflight Now,https://spaceflightnow.com/2026/09/23/spacex-stack-starship-and-super-heavy-for-first-orbital-flight/
40066,Ship 41 and Booster 21 head into key pre-flight test,2026-09-23 21:21:24,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/ship-41-booster-21-wdr/
40065,NASA Welcomes Croatia as Newest Artemis Accords Signatory,2026-09-23 20:37:19,NASA,https://www.nasa.gov/organizations/oiir/artemis-accords/nasa-welcomes-croatia-as-newest-artemis-accords-signatory/
40064,NASA Selects Far-Infrared Telescope as First in New Mission Class,2026-09-23 20:09:42,NASA,https://www.nasa.gov/news-release/nasa-selects-far-infrared-telescope-as-first-in-new-mission-class/
