id,title,published_at,news_site,url
39455,Rocket Lab Establishes German Subsidiary,2026-08-12 06:58:49,European Spaceflight,https://europeanspaceflight.com/rocket-lab-establishes-german-subsidiary/
39454,Stops Along the Path of Totality,2026-08-12 04:01:00,NASA,https://science.nasa.gov/earth/earth-observatory/stops-along-the-path-of-totality/
39453,Firefly increases vehicle production even as launches lag,2026-08-12 02:06:13,SpaceNews,https://spacenews.com/firefly-increases-vehicle-production-even-as-launches-lag/
39452,U.S. expands missile production as Army seeks more depth in its arsenal,2026-08-12 01:34:00,SpaceNews,https://spacenews.com/u-s-expands-missile-production-as-army-seeks-more-depth-in-its-arsenal/
39451,Firefly Aerospace pushes debut of Alpha Block 2 rocket to the fourth quarter of 2026,2026-08-11 23:41:43,Spaceflight Now,https://spaceflightnow.com/2026/08/11/firefly-aerospace-pushes-debut-of-alpha-block-2-rocket-to-the-fourth-quarter-of-2026/
39450,Golden Dome faces 2027 funding cliff,2026-08-11 22:01:21,SpaceNews,https://spacenews.com/golden-dome-faces-2027-funding-cliff/
39448,What Is the Nancy Grace Roman Space Telescope? (Grades 5-8),2026-08-11 21:04:39,NASA,https://www.nasa.gov/learning-resources/for-kids-and-students/what-is-the-nancy-grace-roman-space-telescope-grades-5-8/
39449,National lab visit boosts NASA’s confidence in space nuclear propulsion mission,2026-08-11 21:01:02,SpaceNews,https://spacenews.com/national-lab-visit-boosts-nasas-confidence-in-space-nuclear-propulsion-mission/
39446,Live coverage: SpaceX to launch 24 Starlink satellites on Falcon 9 rocket from Vandenberg SFB,2026-08-11 20:05:15,Spaceflight Now,https://spaceflightnow.com/2026/08/11/live-coverage-spacex-to-launch-24-starlink-satellites-on-falcon-9-rocket-from-vandenberg-sfb-14/
39447,NASA Completes Astronaut-Deployed Science Instrument for Lunar Surface,2026-08-11 19:41:34,NASA,https://science.nasa.gov/missions/artemis/nasa-completes-astronaut-deployed-science-instrument-for-lunar-surface/
