id,title,published_at,news_site,url
39392,IRIS2 Gets Green Light With More Money and More Satellites,2026-08-08 06:00:24,European Spaceflight,https://europeanspaceflight.com/iris2-gets-green-light-with-more-money-and-more-satellites/
39391,APOD: 2026 August 8 – A Messier Moment for Tempel 2,2026-08-08 04:05:00,NASA,https://science.nasa.gov/image-article/apod/apod-2026-august-8-a-messier-moment-for-tempel-2/
39389,Relativity Space engine integration milestone for Terran-R first stage,2026-08-07 21:04:43,NASASpaceflight,https://www.nasaspaceflight.com/2026/08/relativity-engine-integration-milestone-terran-r/
39390,"Senate installs new chiefs for U.S. military space acquisition, spy satellites",2026-08-07 21:03:50,SpaceNews,https://spacenews.com/senate-installs-new-chiefs-for-u-s-military-space-acquisition-spy-satellites/
39379,2026 IGARSS Hyperwall Schedule,2026-08-07 18:57:34,NASA,https://science.nasa.gov/earth/2026-igarss-hyperwall-schedule/
39378,FCC Space Bureau deputy takes the reins amid licensing overhaul,2026-08-07 17:54:30,SpaceNews,https://spacenews.com/fcc-space-bureau-deputy-takes-the-reins-amid-licensing-overhaul/
39380,NASA’s IXPE Studies Magnetar,2026-08-07 14:27:35,NASA,https://www.nasa.gov/image-article/nasas-ixpe-studies-magnetar/
39377,Join us live and enjoy the total solar eclipse!,2026-08-07 14:00:00,ESA,https://www.esa.int/ESA_Multimedia/Videos/2026/08/Join_us_live_and_enjoy_the_total_solar_eclipse
39376,Week in images: 03-07 August 2026,2026-08-07 13:10:00,ESA,https://www.esa.int/About_Us/Week_in_images/Week_in_images_03-07_August_2026
39375,U.S. Senate confirms Schiess to lead Space Force,2026-08-07 12:42:44,SpaceNews,https://spacenews.com/u-s-senate-confirms-schiess-to-lead-space-force/
