id,title,published_at,news_site,url
40095,ESA and the EU partner with Museo Galileo on new exhibition,2026-09-25 09:00:00,ESA,https://www.esa.int/Applications/Satellite_navigation/Galileo/ESA_and_the_EU_partner_with_Museo_Galileo_on_new_exhibition
40094,Earth from Space: Venetian Lagoon,2026-09-25 08:00:00,ESA,https://www.esa.int/ESA_Multimedia/Images/2026/09/Earth_from_Space_Venetian_Lagoon
40093,MIRROR robot reflects future of in-orbit assembly,2026-09-25 07:45:00,ESA,https://www.esa.int/ESA_Multimedia/Images/2026/09/MIRROR_robot_reflects_future_of_in-orbit_assembly
40092,Callisto Reusable Rocket Demonstrator Takes Shape Ahead of 2027 Hop Test,2026-09-25 06:00:20,European Spaceflight,https://europeanspaceflight.com/callisto-reusable-rocket-demonstrator-takes-shape-ahead-of-2027-hop-test/
40091,APOD: 2026 September 25 – Globular Star Cluster Omega Centauri,2026-09-25 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-25-globular-star-cluster-omega-centauri/
40090,Explosive Intensification for Hurricane Polo,2026-09-25 04:01:00,NASA,https://science.nasa.gov/earth/earth-observatory/explosive-intensification-for-hurricane-polo/
40089,NASA announces new space telescope ‘PRIMA’ to launch in 2033,2026-09-24 23:07:18,Spaceflight Now,https://spaceflightnow.com/2026/09/24/nasa-announces-new-space-telescope-prima-to-launch-in-2033/
40088,Expedition 75 astronauts continue science work as Crew-13 readies for launch,2026-09-24 22:06:28,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/iss-roundup-20260924/
40087,NASA Welcomes Côte d’Ivoire as Newest Artemis Accords Signatory,2026-09-24 21:27:17,NASA,https://www.nasa.gov/organizations/oiir/nasa-welcomes-cote-divoire-as-newest-artemis-accords-signatory/
40086,NASA Shares SpaceX Crew-14 Assignments for Space Station Mission,2026-09-24 21:15:46,NASA,https://www.nasa.gov/news-release/nasa-shares-spacex-crew-14-assignments-for-space-station-mission/
