id,title,published_at,news_site,url
39722,President Honors NASA’s Artemis II Crew with Highest US Space Award,2026-08-28 17:37:01,NASA,https://www.nasa.gov/news-release/president-honors-nasas-artemis-ii-crew-with-highest-us-space-award/
39721,"Trump calls for creation of a ""space academy"" to train future NASA leaders",2026-08-28 17:36:30,Arstechnica,https://arstechnica.com/space/2026/08/trump-calls-for-creation-of-a-space-academy-to-train-future-nasa-leaders/
39720,President Trump Signs Executive Order to Create US Space Academy,2026-08-28 17:21:04,NASA,https://www.nasa.gov/news-release/president-trump-signs-executive-order-to-create-us-space-academy/
39718,Orbex’s Sutherland Spaceport Assets Sold to Scottish Development Agency,2026-08-28 14:23:45,European Spaceflight,https://europeanspaceflight.com/orbexs-sutherland-spaceport-assets-sold-to-scottish-development-agency/
39719,Sophie Adenot's third spacewalk (U.S. Spacewalk 99),2026-08-28 14:00:00,ESA,https://www.esa.int/ESA_Multimedia/Videos/2026/08/Sophie_Adenot_s_third_spacewalk_U.S._Spacewalk_99
39716,Week in images: 24-28 August 2026,2026-08-28 13:10:00,ESA,https://www.esa.int/About_Us/Week_in_images/Week_in_images_24-28_August_2026
39717,Ariane 6 launch with MTG-I2 – highlights,2026-08-28 12:20:00,ESA,https://www.esa.int/ESA_Multimedia/Videos/2026/08/Ariane_6_launch_with_MTG-I2_highlights
39713,Rocket Report: Europe splashes some cash on launch startups; Pallas-1 nears debut,2026-08-28 11:00:39,Arstechnica,https://arstechnica.com/space/2026/08/rocket-report-europe-splashes-some-cash-on-launch-startups-pallas-1-nears-debut/
39714,Observing Samba and Tango’s reentries,2026-08-28 09:03:00,ESA,https://www.esa.int/Space_Safety/Space_Debris/Observing_Samba_and_Tango_s_reentries
39715,A navigation odyssey,2026-08-28 08:58:00,ESA,https://www.esa.int/Applications/Satellite_navigation/A_navigation_odyssey
