id,title,published_at,news_site,url
39154,Two new Galileo satellites enter service,2026-07-24 07:29:00,ESA,https://www.esa.int/Applications/Satellite_navigation/Two_new_Galileo_satellites_enter_service
39153,A Million-Panel Project,2026-07-24 04:01:00,NASA,https://science.nasa.gov/earth/earth-observatory/a-million-panel-project/
39152,Department of Commerce Takes Step Towards Mission Authorization,2026-07-24 03:28:37,SpacePolicyOnline.com,https://spacepolicyonline.com/news/department-of-commerce-takes-step-towards-mission-authorization/
39151,"Curiosity Blog, Sols 4954–4960: Celebrating Our Rover Engineers Past and Present",2026-07-24 01:22:13,NASA,https://science.nasa.gov/blog/curiosity-blog-sols-4954-4960-celebrating-our-rover-engineers-past-and-present/
39150,NASA programs feel effects of workforce reductions,2026-07-23 21:31:29,SpaceNews,https://spacenews.com/nasa-programs-feel-effects-of-workforce-reductions/
39149,Poland commits $745 million to EU’s IRIS² constellation project,2026-07-23 21:14:49,SpaceNews,https://spacenews.com/poland-commits-745-million-to-eus-iris%c2%b2-constellation-project/
39148,Mark Matossian co-founds Whipsmart Ventures to fund space and deep tech,2026-07-23 19:23:13,SpaceNews,https://spacenews.com/mark-matossian-co-founds-whipsmart-ventures-for-space-and-deep-tech/
39147,Live coverage: SpaceX ready for 2nd attempt to launch Starship Flight 13 following post-abort engine work,2026-07-23 19:12:50,Spaceflight Now,https://spaceflightnow.com/2026/07/23/live-coverage-spacex-ready-for-2nd-attempt-to-launch-starship-flight-13-following-post-abort-engine-work/
39146,Look for NASA+ Now Streaming on Amazon Fire TV,2026-07-23 19:11:29,NASA,https://www.nasa.gov/news-release/look-for-nasa-now-streaming-on-amazon-fire-tv/
39144,Crews Move Artemis IV Liquid Hydrogen Tank,2026-07-23 15:20:19,NASA,https://www.nasa.gov/image-article/crews-move-artemis-iv-liquid-hydrogen-tank/
