id,title,published_at,news_site,url
39473,APOD: 2026 August 13 – Total Solar Eclipse Over Spain,2026-08-13 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-august-13-total-solar-eclipse-over-spain/
39472,Virgin Galactic delays resumption of commercial flights to 2027,2026-08-13 01:46:10,SpaceNews,https://spacenews.com/virgin-galactic-delays-resumption-of-commercial-flights-to-2027/
39471,Space Force orders two more Impulse Space vehicles for maneuvering demonstrations,2026-08-12 23:30:00,SpaceNews,https://spacenews.com/space-force-orders-two-more-impulse-space-vehicles-for-maneuvering-demonstrations/
39470,Pentagon missile buildup changing the factory floor,2026-08-12 23:00:00,SpaceNews,https://spacenews.com/pentagon-missile-buildup-changing-the-factory-floor/
39469,Space Command identifies capabilities it needs for the next space war,2026-08-12 22:00:00,SpaceNews,https://spacenews.com/space-command-identifies-capabilities-it-needs-for-the-next-space-war/
39468,"Mike Fincke, a 30-year astronaut with experience across four spacecraft, retires from NASA",2026-08-12 21:24:47,Spaceflight Now,https://spaceflightnow.com/2026/08/12/mike-fincke-a-30-year-astronaut-with-experience-across-four-human-rated-spacecraft-retires-from-nasa/
39467,NASA Data Helps Commercial Space Plan Living Off Our Moon,2026-08-12 20:40:27,NASA,https://www.nasa.gov/technology/tech-transfer-spinoffs/nasa-data-helps-commercial-space-plan-living-off-our-moon/
39466,2026 Total Solar Eclipse in Spain,2026-08-12 20:08:28,NASA,https://www.nasa.gov/image-article/2026-total-solar-eclipse-in-spain/
39465,"Amid failure, Wenchang celebrates milestone as China launches AI satellites and prepares for lunar south pole mission",2026-08-12 19:33:41,NASASpaceflight,https://www.nasaspaceflight.com/2026/08/china-roundup-20260813/
39464,NASA Upgrades Vertical Motion Simulator for Modern Mission Needs,2026-08-12 17:55:36,NASA,https://www.nasa.gov/centers-and-facilities/ames/nasa-upgrades-vertical-motion-simulator-for-modern-mission-needs/
