id,title,published_at,news_site,url
39369,Blue Origin identifies engine issue behind New Glenn explosion,2026-08-06 22:35:52,Spaceflight Now,https://spaceflightnow.com/2026/08/06/blue-origin-identifies-engine-issue-behind-new-glenn-explosion/
39368,Blue Origin narrowing in on root cause of catastrophic rocket accident,2026-08-06 18:20:32,Arstechnica,https://arstechnica.com/space/2026/08/blue-origin-narrowing-in-on-root-cause-of-catastrophic-rocket-accident/
39367,How should Europe’s militaries respond to space threats,2026-08-06 15:31:26,SpaceNews,https://spacenews.com/how-should-europes-militaries-respond-to-space-threats/
39366,Lessons for the future of NASA Mars exploration from a 1970s mission,2026-08-06 15:00:00,SpaceNews,https://spacenews.com/lessons-for-the-future-of-nasa-mars-exploration-from-a-1970s-mission/
39365,Redwire to fly dedicated Starfall mission for microgravity research,2026-08-06 14:18:19,SpaceNews,https://spacenews.com/redwire-to-fly-dedicated-starfall-mission-for-microgravity-research/
39364,"NASA, Northrop Grumman repurpose Gateway elements for Moon Base demo missions",2026-08-06 13:57:46,Spaceflight Now,https://spaceflightnow.com/2026/08/06/nasa-northrop-grumman-repurpose-gateway-elements-for-moon-base-demo-missions/
39362,A match made in cleanrooms,2026-08-06 13:00:00,ESA,https://www.esa.int/ESA_Multimedia/Images/2026/08/A_match_made_in_cleanrooms
39361,Three companies building the tech to grow crops on the moon,2026-08-06 12:00:00,SpaceNews,https://spacenews.com/three-companies-building-the-tech-to-grow-crops-on-the-moon/
39360,Rocket Lab launches 8th iQPS satellite,2026-08-06 11:17:27,SpaceNews,https://spacenews.com/rocket-lab-launches-8th-iqps-satellite/
39359,"Chinese launch startup Orienspace targets IPO, secures funding for reusable Gravity-2 rocket",2026-08-06 10:48:03,SpaceNews,https://spacenews.com/chinese-launch-startup-orienspace-targets-ipo-secures-funding-for-reusable-gravity-2-rocket/
