id,title,published_at,news_site,url
39549,"Curiosity Blog, Sols 4975-4981: Happy 14th Landing Anniversary",2026-08-17 23:10:41,NASA,https://science.nasa.gov/blog/curiosity-blog-sols-4975-4981-happy-14th-landing-anniversary/
39548,Launch Preview: Chang’e 7 headlines week of Chinese and Starlink launches,2026-08-17 22:19:52,NASASpaceflight,https://www.nasaspaceflight.com/2026/08/launch-preview-081726/
39547,HEO to use Planet satellites for non-Earth imaging,2026-08-17 22:00:00,SpaceNews,https://spacenews.com/heo-to-use-planet-satellites-for-non-earth-imaging/
39546,New EU sanctions target leaders of Russia’s space industry,2026-08-17 21:05:13,SpaceNews,https://spacenews.com/new-eu-sanctions-target-leaders-of-russias-space-industry/
39545,NASA Selects Companies to Provide Payload Processing Services,2026-08-17 20:17:20,NASA,https://www.nasa.gov/news-release/nasa-selects-companies-to-provide-payload-processing-services/
39544,NASA Mission Studies Air Pollution Over Ethiopia,2026-08-17 19:24:34,NASA,https://www.nasa.gov/missions/maia/nasa-mission-studies-air-pollution-over-ethiopia/
39543,Next Generation of Planetary Scientists Learn Public Engagement Skills,2026-08-17 17:52:42,NASA,https://science.nasa.gov/learning-resources/science-activation/next-generation-of-planetary-scientists-learn-public-engagement-skills/
39542,ULA names Peller as new CEO,2026-08-17 16:43:51,SpaceNews,https://spacenews.com/ula-names-peller-as-new-ceo/
39541,Colorful Collage of Tarantula Nebula,2026-08-17 16:00:09,NASA,https://www.nasa.gov/image-article/colorful-collage-of-tarantula-nebula/
39539,NASA Challenge Tests Wheel Designs for Moon Base Mobility,2026-08-17 15:09:05,NASA,https://www.nasa.gov/centers-and-facilities/johnson/nasa-challenge-tests-wheel-designs-for-moon-base-mobility/
