id,title,published_at,news_site,url
39844,Isar Aerospace Completes First Successful Spectrum Flight,2026-09-06 05:40:14,European Spaceflight,https://europeanspaceflight.com/isar-aerospace-completes-first-successful-spectrum-flight/
39843,Live coverage: SpaceX to launch 80th Starlink mission of 2026,2026-09-05 22:06:47,Spaceflight Now,https://spaceflightnow.com/2026/09/05/live-coverage-spacex-to-launch-80th-starlink-mission-of-2026/
39842,Isar Aerospace achieves first launch to orbit from continental Europe,2026-09-05 20:24:00,ESA,https://www.esa.int/Enabling_Support/Space_Transportation/Boost/Isar_Aerospace_achieves_first_launch_to_orbit_from_continental_Europe
39841,Isar Aerospace attempts launch of Spectrum rocket after months of delays,2026-09-05 09:41:57,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/isar-onward-and-upward/
39840,APOD: 2026 September 5 – Chasing the Moon’s Shadow,2026-09-05 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-5-chasing-the-moons-shadow/
39839,Blue Origin expands test and launch sites across the Cape,2026-09-04 20:37:43,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/blue-origin-expands-test-launch-cape/
39838,NASA Ames Fire Department Aircraft Firefighting Training,2026-09-04 19:51:56,NASA,https://www.nasa.gov/news-release/nasa-ames-fire-department-aircraft-firefighting-training/
39837,"NASA Hosts Virtual Artemis Webinar for Blind, Low-Vision Community",2026-09-04 16:48:59,NASA,https://www.nasa.gov/general/nasa-hosts-virtual-artemis-webinar-for-blind-low-vision-community/
39835,Blue Origin Nets NASA Mars Orbiter Contract,2026-09-04 16:20:29,Space Scout,https://www.spacescout.info/2026/09/blue-origin-nets-nasa-mars-orbiter-contract/
39834,Why did US space companies pull out of a French space meeting? It’s complicated.,2026-09-04 15:46:33,Arstechnica,https://arstechnica.com/space/2026/09/why-did-us-space-companies-pull-out-of-a-french-space-meeting-its-complicated/
