id,title,published_at,news_site,url
39858,Anak Krakatau eruption by Sentinel-3,2026-09-08 08:45:00,ESA,https://www.esa.int/ESA_Multimedia/Images/2026/09/Anak_Krakatau_eruption_by_Sentinel-3
39856,APOD: 2026 September 8 – Hubble: Decagon Around Saturn’s South Pole,2026-09-08 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-8-hubble-decagon-around-saturns-south-pole/
39857,The Otherworldly Geology of Vasquez Rocks,2026-09-08 04:01:00,NASA,https://science.nasa.gov/earth/earth-observatory/the-otherworldly-geology-of-vasquez-rocks/
39855,"Launch Preview: Soyuz, CZ-8A, and Falcon 9 to launch from sites around the world",2026-09-07 22:15:34,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/launch-preview-090726/
39854,Artemis III SLS stacking advances as Orion results confirm trajectory fix,2026-09-07 18:39:52,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/artemis-iii-sls-stacking-artemis-ii-orion-fix/
39853,Isar Aerospace Soars to Orbit On Historic Second Launch,2026-09-07 16:39:11,Space Scout,https://www.spacescout.info/2026/09/isar-aerospace-soars-to-orbit-on-historic-second-launch/
39851,BepiColombo begins Mercury arrival with MTM separation success,2026-09-07 08:25:00,ESA,https://www.esa.int/Enabling_Support/Operations/BepiColombo_begins_Mercury_arrival_with_MTM_separation_success
39850,Isar Aerospace achieves first launch to orbit from continental Europe,2026-09-07 07:26:00,ESA,https://www.esa.int/ESA_Multimedia/Videos/2026/09/Isar_Aerospace_achieves_first_launch_to_orbit_from_continental_Europe
39852,Europe's space future in focus at the International Space Summit,2026-09-07 06:10:00,ESA,https://www.esa.int/About_Us/Corporate_news/Europe_s_space_future_in_focus_at_the_International_Space_Summit
39848,"APOD: 2026 September 7 – The Pelican Nebula in Gas, Dust, and Stars",2026-09-07 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-7-the-pelican-nebula-in-gas-dust-and-stars/
