id,title,published_at,news_site,url
40035,NASA Welcomes Albania as Newest Artemis Accords Signatory,2026-09-21 21:21:32,NASA,https://www.nasa.gov/organizations/oiir/nasa-welcomes-albania-as-newest-artemis-accords-signatory/
40033,NASA Kicks Off Nationwide Effort to Prepare Tomorrow’s Space Workforce,2026-09-21 21:03:04,NASA,https://www.nasa.gov/learning-resources/nasa-kicks-off-nationwide-effort-to-prepare-tomorrows-space-workforce/
40034,"Launch Preview: Electron, Falcon 9, and Starship set for launches",2026-09-21 21:01:41,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/launch-preview-092126/
40032,Perseverance’s View of ‘Turquoise Bay’,2026-09-21 19:17:59,NASA,https://science.nasa.gov/photojournal/perseverances-view-of-turquoise-bay/
40031,NASA Astronaut Reid Wiseman Attends Ravens vs. Saints Game,2026-09-21 18:43:13,NASA,https://www.nasa.gov/image-article/nasa-astronaut-reid-wiseman-attends-ravens-vs-saints-game/
40030,SpaceX’s Super Heavy booster arrives at pad ahead of first orbital Starship launch,2026-09-21 17:25:37,Spaceflight Now,https://spaceflightnow.com/2026/09/21/spacexs-super-heavy-booster-arrives-at-pad-ahead-of-first-orbital-starship-launch/
40029,"Exolaunch, Space Cargo book Starship Starfall missions",2026-09-21 16:57:40,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/exolaunch-space-cargo-starship-starfall/
40028,NASA Discovery Reveals Complex Water Systems on Early Mars,2026-09-21 16:54:43,NASA,https://www.nasa.gov/solar-system/planets/mars/nasa-discovery-reveals-complex-water-systems-on-early-mars/
40027,Commercial Space Federation (CSF) Welcomes Two New Members,2026-09-21 15:00:00,SpaceNews,https://spacenews.com/commercial-space-federation-csf-welcomes-two-new-members/
40026,Juice to fly past Earth for third gravity assist,2026-09-21 14:00:00,ESA,https://www.esa.int/Science_Exploration/Space_Science/Juice/Juice_to_fly_past_Earth_for_third_gravity_assist
