id,title,published_at,news_site,url
39311,ESA and Pokémon team up to celebrate World Space Week,2026-08-04 08:00:00,ESA,https://www.esa.int/About_Us/Branding_and_Partnerships/ESA_and_Pokemon_team_up_to_celebrate_World_Space_Week
39310,Kreios Space to fly VLEO demonstration in NanoAvionics bus,2026-08-04 04:01:00,SpaceNews,https://spacenews.com/kreios-space-to-fly-vleo-demonstration-in-nanoavionics-bus/
39309,"NASA, SpaceX studying how to prevent future upper stage lunar collisions",2026-08-04 02:03:57,SpaceNews,https://spacenews.com/nasa-spacex-studying-how-to-prevent-future-upper-stage-lunar-collisions/
39308,SpaceX Replacing MRAPs with Cybertrucks Beginning with Crew-13,2026-08-04 01:24:54,SpacePolicyOnline.com,https://spacepolicyonline.com/news/spacex-replacing-mraps-with-cybertrucks-beginning-with-crew-13/
39307,"Launch Preview: Starlink, AST SpaceMobile, and Chinese missions fill launch manifest",2026-08-03 21:24:28,NASASpaceflight,https://www.nasaspaceflight.com/2026/08/launch-preview-080326/
39306,Louisiana Students Loft Payloads from NASA Balloon Facility in Texas,2026-08-03 19:22:43,NASA,https://www.nasa.gov/missions/scientific-balloons/louisiana-students-loft-payloads-from-nasa-balloon-facility-in-texas/
39305,Guinea-Bissau Tidal Waters,2026-08-03 17:15:39,NASA,https://www.nasa.gov/image-article/guinea-bissau-tidal-waters/
39304,Hughes files for bankruptcy after GEO business loses ground to Starlink,2026-08-03 16:06:47,SpaceNews,https://spacenews.com/hughes-files-for-bankruptcy-after-geo-business-loses-ground-to-starlink/
39301,Starship Soars as SpaceX Looks to AI,2026-08-03 15:37:50,Space Scout,https://www.spacescout.info/2026/08/starship-soars-as-spacex-looks-to-ai/
39302,Xona secures spectrum approval for 250-satellite navigation network,2026-08-03 15:36:37,SpaceNews,https://spacenews.com/xona-secures-spectrum-approval-for-250-satellite-navigation-network/
