id,title,published_at,news_site,url
39729,"Roman Space Telescope, NASA’s next ‘great observatory,’ poised for Sunday launch",2026-08-29 22:17:36,Spaceflight Now,https://spaceflightnow.com/2026/08/29/roman-space-telescope-nasas-next-great-observatory-poised-for-sunday-launch/
39728,"NASA, SpaceX set to launch the Nancy Grace Roman Space Telescope from Florida on Sunday",2026-08-29 20:20:42,NASASpaceflight,https://www.nasaspaceflight.com/2026/08/roman-telescope-launch/
39727,"NASA’s Roman Space Telescope Go for Launch, Five Years of Discovery",2026-08-29 14:25:58,Space Scout,https://www.spacescout.info/2026/08/nasas-roman-space-telescope-go-for-launch/
39726,ESA awards first European Launcher Challenge contracts,2026-08-29 11:09:51,NASASpaceflight,https://www.nasaspaceflight.com/2026/08/esa-european-launcher-challenge-contracts/
39725,NASA’s Artemis II Crew Receives Congressional Space Medal of Honor,2026-08-28 22:21:31,NASA,https://www.nasa.gov/image-article/nasas-artemis-ii-crew-receives-congressional-space-medal-of-honor/
39724,NASA Awards First Prize in Phase 2 of Agency’s LunaRecycle Challenge,2026-08-28 20:30:52,NASA,https://www.nasa.gov/directorates/stmd/prizes-challenges-crowdsourcing-program/centennial-challenges/nasa-awards-first-prize-in-phase-2-of-agencys-lunarecycle-challenge/
39723,"Trump Honors Artemis II Crew, Signs Executive Order to Establish a U.S. Space Academy",2026-08-28 20:29:42,SpacePolicyOnline.com,https://spacepolicyonline.com/news/trump-honors-artemis-ii-crew-signs-executive-order-to-establish-a-u-s-space-academy/
39722,President Honors NASA’s Artemis II Crew with Highest US Space Award,2026-08-28 17:37:01,NASA,https://www.nasa.gov/news-release/president-honors-nasas-artemis-ii-crew-with-highest-us-space-award/
39721,"Trump calls for creation of a ""space academy"" to train future NASA leaders",2026-08-28 17:36:30,Arstechnica,https://arstechnica.com/space/2026/08/trump-calls-for-creation-of-a-space-academy-to-train-future-nasa-leaders/
39720,President Trump Signs Executive Order to Create US Space Academy,2026-08-28 17:21:04,NASA,https://www.nasa.gov/news-release/president-trump-signs-executive-order-to-create-us-space-academy/
