id,title,published_at,news_site,url
39982,MTG-I2 timelapse : from arrival at Europe’s Spaceport to launch,2026-09-17 10:00:00,ESA,https://www.esa.int/ESA_Multimedia/Videos/2026/09/MTG-I2_timelapse_from_arrival_at_Europe_s_Spaceport_to_launch
39981,EnduroSat Raise Pushes European NewSpace Funding Above €1 Billion for September,2026-09-17 08:32:10,European Spaceflight,https://europeanspaceflight.com/endurosat-raise-pushes-european-newspace-funding-above-e1-billion-for-september/
39980,Three space companies win ESA awards for excellence and innovation,2026-09-17 07:10:00,ESA,https://www.esa.int/About_Us/Business_with_ESA/Three_space_companies_win_ESA_awards_for_excellence_and_innovation
39983,Galileo's first civil authenticated position fix in spoofing conditions,2026-09-17 06:20:00,ESA,https://www.esa.int/Applications/Satellite_navigation/Galileo/Galileo_s_first_civil_authenticated_position_fix_in_spoofing_conditions
39979,APOD: 2026 September 17 – A Treasure Chest in the Carina Nebula,2026-09-17 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-17-a-treasure-chest-in-the-carina-nebula/
39978,Summer Goes Out With a Heat Dome,2026-09-17 04:01:00,NASA,https://science.nasa.gov/earth/earth-observatory/summer-goes-out-with-a-heat-dome/
39977,Passion Meets Precision at NASA’s Flight Research Lab,2026-09-16 21:06:08,NASA,https://www.nasa.gov/people-of-nasa/armstrong-people/passion-meets-precision-at-nasas-flight-research-lab/
39976,"NASA’s Moon Orbiter Spots New, ‘Once-in-Century’ Moon Crater",2026-09-16 18:06:35,NASA,https://science.nasa.gov/solar-system/moon/nasas-moon-orbiter-spots-new-once-in-century-moon-crater/
39975,NASA Celebrates Restoration of Guam Station Damaged by Typhoon Mawar,2026-09-16 16:12:01,NASA,https://www.nasa.gov/technology/space-comms/nasa-celebrates-restoration-of-guam-station-damaged-by-typhoon-mawar/
39974,"NASA Watches Earth’s Weight, Finds Center of Mass",2026-09-16 16:08:00,NASA,https://www.nasa.gov/science-research/earth-science/nasa-watches-earths-weight-finds-center-of-mass/
