id,title,published_at,news_site,url
39884,APOD: 2026 September 10 – LDN 1295: The Giraffe Nebula,2026-09-10 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-10-ldn-1295-the-giraffe-nebula/
39885,Dust Storm Sweeps Over Mali,2026-09-10 04:00:00,NASA,https://science.nasa.gov/earth/earth-observatory/dust-storm-sweeps-over-mali/
39883,Live coverage: SpaceX to launch classified payload for the U.S. Space Force,2026-09-09 22:32:04,Spaceflight Now,https://spaceflightnow.com/2026/09/09/live-coverage-spacex-to-launch-classified-payload-for-the-u-s-space-force/
39881,"As Europe flounders in space, a rising French star may show the way",2026-09-09 20:27:40,Arstechnica,https://arstechnica.com/space/2026/09/as-europe-flounders-in-space-a-rising-french-star-may-show-the-way/
39882,Flight 15 pairing undergo testing at Massey’s,2026-09-09 20:22:02,NASASpaceflight,https://www.nasaspaceflight.com/2026/09/flight-15-pairing-masseys/
39880,NASA Adds Relativity Space’s Terran R to Launch Services Contract,2026-09-09 20:11:58,NASA,https://www.nasa.gov/news-release/nasa-adds-relativity-spaces-terran-r-to-launch-services-contract/
39879,NASA’s Chandra Unveils Mysterious X-Ray Objects,2026-09-09 18:11:24,NASA,https://science.nasa.gov/missions/chandra/nasas-chandra-unveils-mysterious-x-ray-objects/
39878,"How 2 US, European Satellites Are Studying Hurricanes During El Niño",2026-09-09 16:00:00,NASA,https://www.nasa.gov/missions/jason-cs-sentinel-6/how-2-us-european-satellites-are-studying-hurricanes-during-el-nino/
39877,Artemis II Crew at NASA Marshall,2026-09-09 15:31:44,NASA,https://www.nasa.gov/image-article/artemis-ii-crew-at-nasa-marshall/
39876,UK to Leave Launch to “Germany and Other Allies”,2026-09-09 13:28:16,European Spaceflight,https://europeanspaceflight.com/uk-to-leave-launch-to-germany-and-other-allies/
