id,title,published_at,news_site,url
39357,Webb opens a Treasure Chest filled with stars,2026-08-06 08:00:00,ESA,https://www.esa.int/ESA_Multimedia/Images/2026/08/Webb_opens_a_Treasure_Chest_filled_with_stars
39356,APOD: 2026 August 6 – New Sharpest Image of the Sun Uncovers Instability,2026-08-06 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-august-6-new-sharpest-image-of-the-sun-uncovers-instability/
39355,NASA and Roscosmos continue seat barter agreement,2026-08-06 02:23:47,SpaceNews,https://spacenews.com/nasa-and-roscosmos-continue-seat-barter-agreement/
39354,New Glenn explosion linked to rocket engine valve,2026-08-05 22:30:16,SpaceNews,https://spacenews.com/new-glenn-explosion-linked-to-rocket-engine-valve/
39352,"This Atlantic hurricane season is looking like a dud, but there will be a price to pay",2026-08-05 19:19:04,Arstechnica,https://arstechnica.com/science/2026/08/this-atlantic-hurricane-season-is-looking-like-a-dud-but-there-will-be-a-price-to-pay/
39351,CNES Sets 2028 Target for Hot-Fire Test of New High-Thrust Rocket Engine,2026-08-05 18:49:25,European Spaceflight,https://europeanspaceflight.com/cnes-sets-2028-target-for-hot-fire-test-of-new-high-thrust-rocket-engine/
39353,NASA’s IXPE May Have Proven 90-Year-Old Theory,2026-08-05 18:49:14,NASA,https://science.nasa.gov/missions/ixpe/nasas-ixpe-may-have-proven-90-year-old-theory/
39349,Artemis III Orion Crew and Service Models Joined,2026-08-05 17:27:18,NASA,https://www.nasa.gov/image-article/artemis-iii-orion-crew-and-service-models-joined/
39348,"Capella, Iceye and Umbra win NRO radar-data contracts",2026-08-05 17:05:00,SpaceNews,https://spacenews.com/capella-iceye-and-umbra-win-nro-radar-data-contracts/
39350,NASA’s Perseverance Captures Phobos and Earth,2026-08-05 15:28:03,NASA,https://science.nasa.gov/photojournal/nasas-perseverance-captures-phobos-and-earth/
