id,title,published_at,news_site,url
39788,"Private group wants to launch ""cheapest possible"" mission to Alpha Centauri",2026-09-01 10:00:33,Arstechnica,https://arstechnica.com/space/2026/09/private-group-wants-to-launch-cheapest-possible-mission-to-alpha-centauri/
39789,Samba’s fiery farewell recorded,2026-09-01 09:05:00,ESA,https://www.esa.int/Space_Safety/Space_Debris/Samba_s_fiery_farewell_recorded
39786,APOD: 2026 September 1 – A Plane Lunar Eclipse,2026-09-01 04:05:00,NASA,https://science.nasa.gov/image-article/apod-2026-september-1-a-plane-lunar-eclipse/
39785,Ice Island Survives Run-In With Joe Island,2026-09-01 04:00:00,NASA,https://science.nasa.gov/earth/earth-observatory/iceberg-from-petermann-glacier-speeds-away/
39784,NASA Welcomes Türkiye as Newest Artemis Accords Signatory,2026-08-31 21:14:12,NASA,https://www.nasa.gov/organizations/oiir/artemis-accords/nasa-welcomes-turkiye-as-newest-artemis-accords-signatory/
39783,Launch Preview: Array of international launches planned this week,2026-08-31 20:55:13,NASASpaceflight,https://www.nasaspaceflight.com/2026/08/launch-preview-083126/
39782,September 2026 Satellite Puzzler,2026-08-31 19:37:57,NASA,https://science.nasa.gov/earth/earth-observatory/september-2026-satellite-puzzler/
39747,Commercial Space Federation (CSF) Welcomes Two New Associate Members,2026-08-31 15:00:00,SpaceNews,https://spacenews.com/commercial-space-federation-csf-welcomes-two-new-associate-members-2/
39746,Roman Space Telescope Headed to Deep Space,2026-08-31 14:54:27,Space Scout,https://www.spacescout.info/2026/08/roman-space-telescope-headed-to-deep-space/
39745,NASA’s Nancy Grace Roman Space Telescope Launches,2026-08-31 14:10:31,NASA,https://www.nasa.gov/image-article/nasas-nancy-grace-roman-space-telescope-launches/
